Author;Book;Deleted;;;
Abraham Lincoln;a_legacy_of_fun;Deleted completely - not written by author;;;
Abraham Lincoln;discoveries_and_inventions;Prefatory not by author;;;
Abraham Lincoln;noted_speeches_of_abraham_lincoln;Table of contents, text not written by author;;;
Agatha Christie;poirot_investigates;Table of contents;;;
Agatha Christie;the_man_in_the_brown_suit;List of other works;;;
Agatha Christie;the_murder_on_the_links;Table of contents;;;
Agatha Christie;the_mysterious_affair_at_styles;Table of contents;;;
Agatha Christie;the_secret_adversary;Table of contents;;;
Ambrose Bierce;can_such_things_be;Table of contents;;;
Ambrose Bierce;index_of_the_project_gutenberg_works_of_ambrose_bierce;Deleted completely - not a book;;;
Ambrose Bierce;present_at_a_hanging;Table of contents;;;
Ambrose Bierce;the_fiend's_delight;Short book information;;;
Ambrose Bierce;the_monk_and_the_hangmans_daughter;Short book information;;;
Anne Brontë;agnes_grey;Short book information;;;
Anne Brontë;the_tenant_of_wildfell_hall;Short book information, text not written by author, prefatory;;;
Ayn Rand;anthem;Table of contents;;;
Benjamin Franklin;benjamin_franklin;Deleted completely - not written by author;;;
Benjamin Franklin;franklin's_autobiography;Text not written by author, footnote sections, a whole lot of dashes, note and suggestions not written by author;;;
Benjamin Franklin;index_of_the_project_gutenberg_works_of_benjamin_franklin;Deleted completely - not a book;;;
Benjamin Franklin;the_complete_works_in_philosophy_politics_and_morals_of_the_late_dr_benjamin_franklin_[vol_2_of_3];Transcriber’s note, table of contents, footnotes, schemes, index (at the end);;;
Benjamin Franklin;the_oxford_book_of_american_essays;Table of contents, text not written by author;;;
Bernard Shaw;arms_and_the_man (play);Table of contents;;;
Bernard Shaw;caesar_and_cleopatra (play);Table of contents;;;
Bernard Shaw;mrs_warrens_profession (play);Table of contents;;;
Bernard Shaw;three_plays_by_brieux (play);Table of contents;;;
Charles Darwin;the_descent_of_man_and_selection_in_relation_to_sex_vol_i_(1st_edition);Table of contents, footnotes, index;;;
Charles Darwin;the_descent_of_man_and_selection_in_relation_to_sex;Table of contents, footnotes, index;;;
Charles Darwin;the_expression_of_emotion_in_man_and_animals;Table of contents, introduction, footnotes, index;;;
Charles Darwin;the_formation_of_vegetable_mould;Table of contents, introduction, footnotes;;;
Charles Darwin;the_movement_and_habits_of_climbing_plants;Table of contents, introduction, schemes, footnotes;;;
Charles Dickens;a_christmas_carol;Table of contents;;;
Charles Dickens;a_tale_of_two_cities;Table of contents;;;
Charles Dickens;american_notes_for_general_circulation;Preface, Table of contents, footnote;;;
Charles Dickens;barnaby_rudge;Preface, Table of contents;;;
Charles Dickens;david_copperfield;Preface, Table of contents;;;
Charles Dickens;dombey_and_son;Table of contents;;;
Charles Dickens;great_expectations;Short book information;;;
Charles Dickens;hard_times;Table of contents, footnotes;;;
Charles Dickens;hunted_down;Short book information;;;
Charles Dickens;life_and_adventures_of_martin_chuzzlewit;Preface;;;
Charles Dickens;little_dorrit;Table of contents, preface;;;
Charles Dickens;mr_pickwick's_christmas;Table of contents, introduction, transcriber’s notes;;;
Charles Dickens;oliver_twist_illustrated;Table of contents;;;
Charles Dickens;our_mutual_friend;Table of contents;;;
Charles Dickens;sketches_by_boz;Table of contents, footnotes;;;
Charles Dickens;the_life_and_adventures_of_nicholas_nickleby;Table of contents;;;
Charles Dickens;the_mystery_of_edwin_drood;Short book information;;;
Charles Dickens;the_old_curiosity_shop;nothing deleted;;;
Charles Dickens;the_pickwick_papers;Table of contents;;;
Charles Dickens;three_ghost_stories;Table of contents, footnotes;;;
Charlotte Brontë;charlotte_bronte's_notes;nothing deleted;;;
Charlotte Brontë;shirley;Table of contents, condensed list;;;
Charlotte Brontë;the_professor;Table of contents, preface;;;
Charlotte Perkins Gilman;herland;nothing deleted;;;
Charlotte Perkins Gilman;in_this_our_world (poems);Table of contents;;;
Charlotte Perkins Gilman;index_of_the_project_gutenberg_works_of_charlotte_perkins_gilman;Deleted completely - not a book;;;
Charlotte Perkins Gilman;suffrage_songs_and_verses;Table of contents, list of other works;;;
Charlotte Perkins Gilman;the_yellow_wallpape;nothing deleted;;;
Charlotte Perkins Gilman;what_diantha_did;nothing deleted;;;
Charlotte Perkins Gilman;women_and_economics;Table of contents, index;;;
Edgar Allan Poe;eureka;Preface, List of other works;;;
Edgar Allan Poe;histoires_extraordinaires;Deleted completely - not in English;;;
Edgar Allan Poe;la_puto_kaj_la_pendolo;Deleted completely - not in English;;;
Edgar Allan Poe;the_oxford_book_of_american_essays;Deleted completely - 10+ various authors;;;
Edgar Allan Poe;the_raven_and_the_philosophy_of_composition;Table of contents;;;
Edgar Allan Poe;the_works_of_edgar_allan_poe_the_raven_edition;Deleted completely - not a book;;;
Edgar Allan Poe;the_works_of_edgar_allan_poe;Table of contents;;;
Emily Brontë;empty folder;;;;
Ford Madox Ford;romance;Table of contents;;;
Ford Madox Ford;the_brown_owl;Short book information;;;
Ford Madox Ford;the_feather;Short book information;;;
Ford Madox Ford;the_queen_who_flew;Short book information;;;
Ford Madox Ford;the_young_lovell;Short book information;;;
G. K. Chesterton;alarms_and_discursions;Table of contents;;;
G. K. Chesterton;orthodoxy;Table of contents;;;
G. K. Chesterton;the_ball_and_the_cross;Table of contents;;;
G. K. Chesterton;the_club_of_queer_trades;nothing deleted;;;
G. K. Chesterton;the_flying_inn;Table of contents, transcriber’s notes;;;
G. K. Chesterton;the_innocence_of_father_brown;Table of contents;;;
G. K. Chesterton;the_man_who_was_thursday;nothing deleted;;;
G. K. Chesterton;the_uses_of_diversity;Table of contents, list of other works;;;
G. K. Chesterton;the_wisdom_of_father_brown;Table of contents;;;
G. K. Chesterton;tremendous_trifles;Preface, Table of contents;;;
