Rank,Year,Movie,Distributor,Domestic Box Office,International Box Office,Worldwide Box Office
1,2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,"$936,662,225","$1,131,561,399","$2,068,223,624"
2,2019,Avengers: Endgame,Walt Disney,"$858,373,000","$1,939,427,564","$2,797,800,564"
3,2009,Avatar,20th Cent…,"$760,507,625","$2,029,197,650","$2,789,705,275"
4,2018,Black Panther,Walt Disney,"$700,059,566","$646,853,595","$1,346,913,161"
5,2018,Avengers: Infinity War,Walt Disney,"$678,815,482","$1,369,544,272","$2,048,359,754"
6,1997,Titanic,Paramount…,"$659,363,944","$1,548,844,451","$2,208,208,395"
7,2015,Jurassic World,Universal,"$652,270,625","$996,584,239","$1,648,854,864"
8,2012,The Avengers,Walt Disney,"$623,357,910","$895,455,078","$1,518,812,988"
9,2017,Star Wars Ep. VIII: The Last Jedi,Walt Disney,"$620,181,382","$712,358,507","$1,332,539,889"
10,2018,Incredibles 2,Walt Disney,"$608,581,744","$634,223,615","$1,242,805,359"
11,2019,The Lion King,Walt Disney,"$543,638,043","$1,112,675,054","$1,656,313,097"
12,2008,The Dark Knight,Warner Bros.,"$533,720,947","$468,275,260","$1,001,996,207"
13,2016,Rogue One: A Star Wars Story,Walt Disney,"$532,177,324","$523,879,949","$1,056,057,273"
14,2019,Star Wars: The Rise of Skywalker,Walt Disney,"$507,768,463","$551,000,000","$1,058,768,463"
15,2017,Beauty and the Beast,Walt Disney,"$504,014,165","$759,506,961","$1,263,521,126"
16,2016,Finding Dory,Walt Disney,"$486,295,561","$542,275,328","$1,028,570,889"
17,1999,Star Wars Ep. I: The Phantom Menace,20th Cent…,"$474,544,677","$552,500,000","$1,027,044,677"
18,2019,Frozen II,Walt Disney,"$472,707,042","$957,504,736","$1,430,211,778"
19,1977,Star Wars Ep. IV: A New Hope,20th Cent…,"$460,998,007","$314,400,000","$775,398,007"
20,2015,Avengers: Age of Ultron,Walt Disney,"$459,005,868","$944,008,095","$1,403,013,963"
21,2012,The Dark Knight Rises,Warner Bros.,"$448,139,099","$636,300,000","$1,084,439,099"
22,2004,Shrek 2,Dreamwork…,"$441,226,247","$495,781,885","$937,008,132"
23,1982,ET: The Extra-Terrestrial,Universal,"$435,110,554","$357,854,772","$792,965,326"
24,2019,Toy Story 4,Walt Disney,"$434,038,008","$639,356,805","$1,073,394,813"
25,2019,Captain Marvel,Walt Disney,"$426,829,839","$702,900,000","$1,129,729,839"
26,2013,The Hunger Games: Catching Fire,Lionsgate,"$424,668,047","$440,200,000","$864,868,047"
27,2006,Pirates of the Caribbean: Dead Man’s Chest,Walt Disney,"$423,315,812","$642,900,000","$1,066,215,812"
28,1994,The Lion King,Walt Disney,"$421,785,283","$564,429,585","$986,214,868"
29,2018,Jurassic World: Fallen Kingdom,Universal,"$417,719,760","$890,751,228","$1,308,470,988"
30,2010,Toy Story 3,Walt Disney,"$415,004,880","$653,874,642","$1,068,879,522"
31,2017,Wonder Woman,Warner Bros.,"$412,563,408","$408,569,970","$821,133,378"
32,2013,Iron Man 3,Walt Disney,"$408,992,272","$806,400,000","$1,215,392,272"
33,2016,Captain America: Civil War,Walt Disney,"$408,084,349","$745,200,000","$1,153,284,349"
34,2012,The Hunger Games,Lionsgate,"$408,010,692","$269,912,687","$677,923,379"
35,2002,Spider-Man,Sony Pict…,"$407,677,927","$418,000,000","$825,677,927"
36,2017,Jumanji: Welcome to the Jungle,Sony Pict…,"$404,508,916","$559,987,277","$964,496,193"
37,1993,Jurassic Park,Universal,"$402,523,348","$643,104,279","$1,045,627,627"
38,2009,Transformers: Revenge of the Fallen,Paramount…,"$402,111,870","$434,407,829","$836,519,699"
39,2013,Frozen,Walt Disney,"$400,738,009","$871,438,645","$1,272,176,654"
40,2019,Spider-Man: Far From Home,Sony Pict…,"$390,532,085","$741,395,911","$1,131,927,996"
41,2017,Guardians of the Galaxy Vol 2,Walt Disney,"$389,813,101","$479,300,000","$869,113,101"
42,2011,Harry Potter and the Deathly Hallows: Part II,Warner Bros.,"$381,193,157","$960,500,000","$1,341,693,157"
43,2003,Finding Nemo,Walt Disney,"$380,529,370","$555,900,000","$936,429,370"
44,2005,Star Wars Ep. III: Revenge of the Sith,20th Cent…,"$380,270,577","$468,728,300","$848,998,877"
45,2003,The Lord of the Rings: The Return of the King,New Line,"$377,845,905","$742,578,709","$1,120,424,614"
46,2004,Spider-Man 2,Sony Pict…,"$373,524,485","$421,586,185","$795,110,670"
47,2004,The Passion of the Christ,Newmarket…,"$370,782,930","$251,558,994","$622,341,924"
48,2016,The Secret Life of Pets,Universal,"$368,384,330","$518,222,082","$886,606,412"
49,2013,Despicable Me 2,Universal,"$368,065,385","$607,151,450","$975,216,835"
50,2016,The Jungle Book,Walt Disney,"$364,001,123","$598,853,424","$962,854,547"
51,2016,Deadpool,20th Cent…,"$363,070,709","$437,954,884","$801,025,593"
52,2015,Inside Out,Walt Disney,"$356,461,711","$501,100,000","$857,561,711"
53,2019,Aladdin,Walt Disney,"$355,559,216","$695,400,000","$1,050,959,216"
54,2015,Furious 7,Universal,"$353,007,020","$1,165,715,774","$1,518,722,794"
55,2011,Transformers: Dark of the Moon,Paramount…,"$352,390,543","$771,403,536","$1,123,794,079"
56,2014,American Sniper,Warner Bros.,"$350,126,372","$197,200,000","$547,326,372"
57,2002,The Lord of the Rings: The Two Towers,New Line,"$342,548,984","$585,049,265","$927,598,249"
58,2016,Zootopia,Walt Disney,"$341,268,248","$695,100,000","$1,036,368,248"
59,2014,The Hunger Games: Mockingjay - Part 1,Lionsgate,"$337,135,885","$429,439,246","$766,575,131"
60,2007,Spider-Man 3,Sony Pict…,"$336,530,303","$558,329,927","$894,860,230"
61,2015,Minions,Universal,"$336,045,770","$824,290,403","$1,160,336,173"
62,2018,Aquaman,Warner Bros.,"$335,061,807","$811,832,833","$1,146,894,640"
63,2019,Joker,Warner Bros.,"$335,039,764","$736,700,000","$1,071,739,764"
64,2017,Spider-Man: Homecoming,Sony Pict…,"$334,201,140","$545,965,210","$880,166,350"
65,2010,Alice in Wonderland,Walt Disney,"$334,191,110","$691,300,000","$1,025,491,110"
66,2014,Guardians of the Galaxy,Walt Disney,"$333,172,112","$439,600,000","$772,772,112"
67,2016,Batman v Superman: Dawn of Justice,Warner Bros.,"$330,360,194","$543,274,725","$873,634,919"
68,1994,Forrest Gump,Paramount…,"$330,151,138","$349,699,499","$679,850,637"
69,2017,It,Warner Bros.,"$328,828,874","$372,900,000","$701,728,874"
70,2016,Suicide Squad,Warner Bros.,"$325,100,054","$420,959,833","$746,059,887"
71,2018,Deadpool 2,20th Cent…,"$324,591,735","$462,088,822","$786,680,557"
72,2007,Shrek the Third,Paramount…,"$322,719,944","$484,610,992","$807,330,936"
73,2007,Transformers,Paramount…,"$319,246,193","$389,026,399","$708,272,592"
74,2008,Iron Man,Paramount…,"$318,604,126","$266,567,421","$585,171,547"
75,2001,Harry Potter and the Sorcerer’s Stone,Warner Bros.,"$317,871,467","$657,176,139","$975,047,606"
76,2008,Indiana Jones and the Kingdom of the Crystal Skull,Paramount…,"$317,101,119","$469,534,294","$786,635,413"
